iter	Passed	Remaining
415	3046	4276
416	3054	4270
417	3061	4262
418	3068	4255
419	3076	4248
420	3083	4240
421	3090	4232
422	3097	4225
423	3104	4217
424	3111	4209
425	3118	4202
426	3125	4194
427	3133	4187
428	3140	4179
429	3147	4172
430	3154	4164
431	3161	4157
432	3169	4149
433	3176	4142
434	3183	4134
435	3190	4127
436	3197	4119
437	3204	4112
438	3212	4104
439	3219	4097
440	3226	4090
441	3234	4082
442	3241	4075
443	3248	4068
444	3256	4061
445	3263	4053
446	3270	4046
447	3277	4038
448	3284	4031
449	3292	4023
450	3299	4015
451	3306	4008
452	3313	4000
453	3320	3993
454	3327	3985
455	3334	3978
456	3341	3970
457	3349	3963
458	3356	3955
459	3363	3948
460	3370	3941
461	3377	3933
462	3384	3925
463	3391	3917
464	3398	3910
465	3405	3902
466	3413	3895
467	3420	3888
468	3427	3880
469	3434	3873
470	3441	3865
471	3448	3858
472	3456	3850
473	3463	3843
474	3470	3835
475	3477	3828
476	3485	3821
477	3492	3813
478	3499	3806
479	3507	3799
480	3514	3792
481	3521	3784
482	3528	3777
483	3535	3769
484	3543	3762
485	3550	3755
486	3558	3748
487	3565	3740
488	3572	3733
489	3579	3725
490	3586	3718
491	3593	3710
492	3600	3703
493	3607	3695
494	3615	3688
495	3622	3680
496	3629	3673
497	3636	3665
498	3643	3658
499	3651	3651
500	3658	3644
501	3665	3636
502	3673	3629
503	3680	3621
504	3687	3614
505	3694	3607
506	3702	3599
507	3709	3592
508	3716	3584
509	3723	3577
510	3730	3570
511	3737	3562
512	3744	3555
513	3752	3547
514	3759	3540
515	3766	3533
516	3774	3525
517	3781	3518
518	3788	3510
519	3795	3503
520	3802	3496
521	3809	3488
522	3816	3481
523	3824	3473
524	3831	3466
525	3838	3458
526	3845	3451
527	3852	3443
528	3859	3436
529	3866	3429
530	3874	3421
531	3881	3414
532	3888	3406
533	3895	3399
534	3902	3391
535	3909	3384
536	3916	3376
537	3924	3369
538	3931	3362
539	3938	3354
540	3945	3347
541	3952	3340
542	3960	3332
543	3966	3325
544	3974	3317
545	3981	3310
546	3989	3303
547	3997	3296
548	4004	3289
549	4011	3282
550	4018	3274
551	4025	3267
552	4032	3259
553	4040	3252
554	4047	3245
555	4054	3237
556	4061	3230
557	4068	3222
558	4075	3215
559	4083	3208
560	4090	3200
561	4097	3193
562	4104	3185
563	4111	3178
564	4118	3170
565	4126	3163
566	4133	3156
567	4140	3149
568	4147	3141
569	4154	3134
570	4161	3126
571	4168	3119
572	4175	3111
573	4183	3104
574	4189	3096
575	4196	3089
576	4204	3082
577	4211	3074
578	4218	3067
579	4225	3059
580	4232	3052
581	4239	3045
582	4246	3037
583	4253	3030
584	4261	3022
585	4267	3015
586	4274	3007
587	4282	3000
588	4289	2993
589	4296	2985
590	4303	2978
591	4310	2970
592	4317	2963
593	4325	2956
594	4332	2948
595	4338	2941
596	4345	2933
597	4352	2926
598	4360	2919
599	4367	2911
600	4374	2904
601	4381	2897
602	4389	2889
603	4396	2882
604	4403	2875
605	4410	2867
606	4417	2860
607	4424	2852
608	4432	2845
609	4439	2838
610	4446	2830
611	4453	2823
612	4460	2816
613	4467	2808
614	4474	2801
615	4481	2793
616	4488	2786
617	4496	2779
618	4503	2771
619	4510	2764
620	4517	2757
621	4524	2749
622	4532	2742
623	4539	2735
624	4546	2728
625	4553	2720
626	4561	2713
627	4567	2705
628	4574	2698
629	4581	2690
630	4588	2683
631	4595	2676
632	4603	2668
633	4610	2661
634	4617	2654
635	4625	2647
636	4632	2639
637	4639	2632
638	4646	2624
639	4653	2617
640	4660	2610
641	4667	2602
642	4674	2595
643	4682	2588
644	4689	2580
645	4696	2573
646	4703	2566
647	4711	2559
648	4718	2551
649	4725	2544
650	4732	2537
651	4739	2529
652	4746	2522
653	4753	2515
654	4761	2507
655	4767	2500
656	4775	2492
657	4782	2485
658	4789	2478
659	4796	2470
660	4803	2463
661	4811	2456
662	4818	2449
663	4825	2441
664	4832	2434
665	4839	2427
666	4846	2419
667	4854	2412
668	4861	2405
669	4868	2397
670	4875	2390
671	4883	2383
672	4890	2376
673	4897	2368
674	4904	2361
675	4911	2354
676	4919	2346
677	4926	2339
678	4933	2332
679	4940	2324
680	4947	2317
681	4955	2310
682	4962	2303
683	4969	2295
684	4976	2288
685	4983	2280
686	4990	2273
687	4997	2266
688	5004	2258
689	5011	2251
690	5018	2244
691	5025	2236
692	5033	2229
693	5041	2222
694	5048	2215
695	5055	2208
696	5062	2200
697	5069	2193
698	5076	2186
699	5084	2178
700	5091	2171
701	5098	2164
702	5105	2157
703	5112	2149
704	5119	2142
705	5127	2135
706	5134	2128
707	5142	2120
708	5149	2113
709	5156	2106
710	5163	2098
711	5171	2091
712	5178	2084
713	5184	2076
714	5192	2069
715	5199	2062
716	5206	2055
717	5214	2047
718	5221	2040
719	5228	2033
720	5235	2025
721	5242	2018
722	5249	2011
723	5256	2004
724	5264	1996
725	5271	1989
726	5278	1982
727	5285	1974
728	5292	1967
729	5299	1960
730	5306	1952
731	5314	1945
732	5321	1938
733	5328	1931
734	5335	1923
735	5342	1916
736	5350	1909
737	5357	1901
738	5364	1894
739	5371	1887
740	5378	1880
741	5386	1872
742	5393	1865
743	5400	1858
744	5407	1850
745	5414	1843
746	5422	1836
747	5429	1829
748	5436	1821
749	5443	1814
750	5451	1807
751	5458	1800
752	5465	1792
753	5473	1785
754	5480	1778
755	5487	1771
756	5494	1763
757	5501	1756
758	5508	1749
759	5515	1741
760	5522	1734
761	5530	1727
762	5537	1720
763	5544	1712
764	5552	1705
765	5558	1698
766	5566	1690
767	5573	1683
768	5580	1676
769	5587	1669
770	5594	1661
771	5601	1654
772	5609	1647
773	5616	1639
774	5623	1632
775	5630	1625
776	5637	1617
777	5644	1610
778	5651	1603
779	5658	1596
780	5665	1588
781	5672	1581
782	5679	1574
783	5686	1566
784	5694	1559
785	5701	1552
786	5709	1545
787	5716	1537
788	5723	1530
789	5730	1523
790	5737	1516
791	5744	1508
792	5751	1501
793	5759	1494
794	5765	1486
795	5773	1479
796	5780	1472
797	5787	1465
798	5794	1457
799	5802	1450
800	5809	1443
801	5816	1435
802	5823	1428
803	5830	1421
804	5837	1414
805	5844	1406
806	5851	1399
807	5858	1392
808	5865	1384
809	5873	1377
810	5880	1370
811	5887	1363
812	5894	1355
813	5902	1348
814	5909	1341
815	5916	1334
816	5923	1326
817	5930	1319
818	5937	1312
819	5944	1304
820	5951	1297
821	5959	1290
822	5966	1283
823	5973	1275
824	5980	1268
825	5988	1261
826	5995	1254
827	6002	1246
828	6009	1239
829	6016	1232
830	6024	1225
831	6031	1217
